Step,Time_s,Height_m,Velocity_m/s,Potential_Energy_J,Kinetic_Energy_J,Total_Energy_J,Energy_Error_J
20900,    0.209000,   99.785808,   -2.049590,512375.16892596,  1099.77172549,513474.94065145,   0.0526206558
21000,    0.210000,   99.783753,   -2.059397,512364.61936549,  1110.32103418,513474.94039968,   0.0528724294
21100,    0.211000,   99.781689,   -2.069203,512354.01945033,  1120.92069757,513474.94014790,   0.0531242027
21200,    0.212000,   99.779615,   -2.079010,512343.36918048,  1131.57071565,513474.93989613,   0.0533759762
21300,    0.213000,   99.777531,   -2.088816,512332.66855592,  1142.27108843,513474.93964436,   0.0536277497
21400,    0.214000,   99.775437,   -2.098623,512321.91757668,  1153.02181591,513474.93939258,   0.0538795232
21500,    0.215000,   99.773333,   -2.108430,512311.11624273,  1163.82289807,513474.93914081,   0.0541312966
21600,    0.216000,   99.771220,   -2.118236,512300.26455410,  1174.67433494,513474.93888904,   0.0543830700
21700,    0.217000,   99.769097,   -2.128043,512289.36251076,  1185.57612650,513474.93863726,   0.0546348436
21800,    0.218000,   99.766964,   -2.137850,512278.41011273,  1196.52827275,513474.93838549,   0.0548866171
21900,    0.219000,   99.764821,   -2.147656,512267.40736001,  1207.53077371,513474.93813372,   0.0551383905
22000,    0.220000,   99.762668,   -2.157463,512256.35425259,  1218.58362935,513474.93788194,   0.0553901640
22100,    0.221000,   99.760506,   -2.167270,512245.25079047,  1229.68683969,513474.93763017,   0.0556419374
22200,    0.222000,   99.758334,   -2.177076,512234.09697366,  1240.84040473,513474.93737839,   0.0558937109
22300,    0.223000,   99.756152,   -2.186883,512222.89280216,  1252.04432446,513474.93712662,   0.0561454844
22400,    0.224000,   99.753960,   -2.196690,512211.63827596,  1263.29859889,513474.93687485,   0.0563972580
22500,    0.225000,   99.751758,   -2.206496,512200.33339506,  1274.60322802,513474.93662307,   0.0566490312
22600,    0.226000,   99.749547,   -2.216303,512188.97815947,  1285.95821183,513474.93637130,   0.0569008047
22700,    0.227000,   99.747325,   -2.226110,512177.57256918,  1297.36355035,513474.93611953,   0.0571525782
22800,    0.228000,   99.745094,   -2.235916,512166.11662420,  1308.81924356,513474.93586775,   0.0574043517
22900,    0.229000,   99.742854,   -2.245723,512154.61032452,  1320.32529146,513474.93561598,   0.0576561251
23000,    0.230000,   99.740603,   -2.255530,512143.05367014,  1331.88169406,513474.93536421,   0.0579078986
23100,    0.231000,   99.738342,   -2.265336,512131.44666107,  1343.48845136,513474.93511243,   0.0581596721
23200,    0.232000,   99.736072,   -2.275143,512119.78929731,  1355.14556335,513474.93486066,   0.0584114455
23300,    0.233000,   99.733792,   -2.284949,512108.08157885,  1366.85303004,513474.93460889,   0.0586632190
23400,    0.234000,   99.731502,   -2.294756,512096.32350569,  1378.61085142,513474.93435711,   0.0589149926
23500,    0.235000,   99.729202,   -2.304563,512084.51507784,  1390.41902750,513474.93410534,   0.0591667659
23600,    0.236000,   99.726893,   -2.314369,512072.65629529,  1402.27755827,513474.93385357,   0.0594185393
23700,    0.237000,   99.724574,   -2.324176,512060.74715805,  1414.18644374,513474.93360179,   0.0596703129
23800,    0.238000,   99.722244,   -2.333983,512048.78766611,  1426.14568391,513474.93335002,   0.0599220864
23900,    0.239000,   99.719905,   -2.343789,512036.77781948,  1438.15527877,513474.93309825,   0.0601738598
24000,    0.240000,   99.717557,   -2.353596,512024.71761815,  1450.21522832,513474.93284647,   0.0604256333
24100,    0.241000,   99.715198,   -2.363403,512012.60706213,  1462.32553257,513474.93259470,   0.0606774068
24200,    0.242000,   99.712830,   -2.373209,512000.44615141,  1474.48619152,513474.93234293,   0.0609291801
24300,    0.243000,   99.710452,   -2.383016,511988.23488599,  1486.69720516,513474.93209115,   0.0611809536
24400,    0.244000,   99.708064,   -2.392823,511975.97326588,  1498.95857349,513474.93183938,   0.0614327271
24500,    0.245000,   99.705666,   -2.402629,511963.66129108,  1511.27029653,513474.93158761,   0.0616845006
24600,    0.246000,   99.703258,   -2.412436,511951.29896158,  1523.63237425,513474.93133583,   0.0619362740
24700,    0.247000,   99.700841,   -2.422243,511938.88627738,  1536.04480668,513474.93108406,   0.0621880475
24800,    0.248000,   99.698414,   -2.432049,511926.42323849,  1548.50759380,513474.93083228,   0.0624398210
24900,    0.249000,   99.695977,   -2.441856,511913.90984490,  1561.02073561,513474.93058051,   0.0626915944
25000,    0.250000,   99.693530,   -2.451663,511901.34609662,  1573.58423212,513474.93032874,   0.0629433679
25100,    0.251000,   99.691073,   -2.461469,511888.73199364,  1586.19808332,513474.93007696,   0.0631951414
25200,    0.252000,   99.688607,   -2.471276,511876.06753597,  1598.86228922,513474.92982519,   0.0634469148
25300,    0.253000,   99.686131,   -2.481082,511863.35272360,  1611.57684982,513474.92957342,   0.0636986882
25400,    0.254000,   99.683645,   -2.490889,511850.58755653,  1624.34176511,513474.92932164,   0.0639504617
25500,    0.255000,   99.681149,   -2.500696,511837.77203477,  1637.15703510,513474.92906987,   0.0642022353
25600,    0.256000,   99.678643,   -2.510502,511824.90615832,  1650.02265978,513474.92881810,   0.0644540086
25700,    0.257000,   99.676128,   -2.520309,511811.98992717,  1662.93863915,513474.92856632,   0.0647057821
25800,    0.258000,   99.673602,   -2.530116,511799.02334132,  1675.90497323,513474.92831455,   0.0649575557
25900,    0.259000,   99.671067,   -2.539922,511786.00640078,  1688.92166200,513474.92806278,   0.0652093290
